,crime,year,long,lat,city,neighborhood
221,LARCENY/THEFT,2016,-78.8705865,42.94610529999999,Buffalo,.
222,ROBBERY,2016,-78.8263501909385,42.9507535890669,Buffalo,.
224,BURGLARY,2016,-78.80528291354861,42.867409970954704,Buffalo,.
231,LARCENY/THEFT,2016,-78.8714188556915,42.8912442599671,Buffalo,.
244,ASSAULT,2016,-78.85519367965291,42.9014637390176,Buffalo,.
245,LARCENY/THEFT,2016,-78.8157762658703,42.939992183362,Buffalo,.
246,LARCENY/THEFT,2016,-78.8842528597086,42.8983179007446,Buffalo,.
248,LARCENY/THEFT,2016,-78.8709872938163,42.9188213121672,Buffalo,.
249,ASSAULT,2016,-78.80639374675309,42.9375962516083,Buffalo,.
251,LARCENY/THEFT,2016,-78.887446,42.8791235,Buffalo,.
254,LARCENY/THEFT,2016,-78.90341784308609,42.9525396103197,Buffalo,.
255,LARCENY/THEFT,2016,-78.83931562465071,42.89763147112871,Buffalo,.
256,LARCENY/THEFT,2016,-78.8774906544512,42.9125213193138,Buffalo,.
257,LARCENY/THEFT,2016,-78.86365085324009,42.9475403281675,Buffalo,.
258,LARCENY/THEFT,2016,-78.8914060355536,42.910810955389294,Buffalo,.
259,LARCENY/THEFT,2016,-78.90350278995341,42.9545149472364,Buffalo,.
260,ASSAULT,2016,-78.853212579025,42.87509968497879,Buffalo,.
261,BURGLARY,2016,-78.8158796590877,42.8880504404075,Buffalo,.
264,LARCENY/THEFT,2016,-78.8939038476713,42.9176090102657,Buffalo,.
265,BURGLARY,2016,-78.83027064474321,42.9503610591481,Buffalo,.
266,ASSAULT,2016,-78.79935305068959,42.9319025167624,Buffalo,.
267,BURGLARY,2016,-78.88709270052308,42.9218254065203,Buffalo,.
269,LARCENY/THEFT,2016,-78.8287609211246,42.852325480819204,Buffalo,.
270,LARCENY/THEFT,2016,-78.8052708062837,42.8952604754261,Buffalo,.
271,LARCENY/THEFT,2016,-78.85016221566241,42.9377221081916,Buffalo,.
275,ASSAULT,2016,-78.8203394930488,42.9320805004645,Buffalo,.
276,ROBBERY,2016,-78.8103212560975,42.9393171644994,Buffalo,.
279,UUV,2016,-78.85097443909359,42.9269368243588,Buffalo,.
280,ASSAULT,2016,-78.82604272835749,42.8534013971979,Buffalo,.
283,LARCENY/THEFT,2016,-78.8819752354913,42.890366606196295,Buffalo,.
286,LARCENY/THEFT,2016,-78.87744549730951,42.9108751109321,Buffalo,.
287,LARCENY/THEFT,2016,-78.8657003196395,42.8974322424475,Buffalo,.
289,ASSAULT,2016,-78.8081417989587,42.8534379435013,Buffalo,.
290,UUV,2016,-78.828119584171,42.9070949020334,Buffalo,.
292,ROBBERY,2016,-78.8954944907881,42.9590644219739,Buffalo,.
293,ROBBERY,2016,-78.8892921916253,42.9060697199144,Buffalo,.
294,UUV,2016,-78.8713088658158,42.8836439731396,Buffalo,.
295,BURGLARY,2016,-78.8271002822073,42.92312129651121,Buffalo,.
296,ASSAULT,2016,-78.8045830660371,42.92209691999809,Buffalo,.
298,UUV,2016,-78.87733920596929,42.927777625286495,Buffalo,.
300,BURGLARY,2016,-78.84153377763809,42.8836326778381,Buffalo,.
302,BURGLARY,2016,-78.8173583885589,42.923855032029294,Buffalo,.
303,LARCENY/THEFT,2016,-78.8876262706483,42.9012723740871,Buffalo,.
304,LARCENY/THEFT,2016,-78.8244167534062,42.8572462950752,Buffalo,.
306,UUV,2016,-78.8271678254488,42.9497091849395,Buffalo,.
307,ASSAULT,2016,-78.82184197090602,42.9150105132749,Buffalo,.
311,ASSAULT,2016,-78.8080891134991,42.941681289491704,Buffalo,.
313,ROBBERY,2016,-78.8400793141233,42.8928005277185,Buffalo,.
315,LARCENY/THEFT,2016,-78.8830095143048,42.9421133242998,Buffalo,.
316,ASSAULT,2016,-78.81963023388829,42.9126004907367,Buffalo,.
321,LARCENY/THEFT,2016,-78.886152450395,42.9051725885505,Buffalo,.
