,crime,year,long,lat,city,neighborhood
1,ASSAULT,2015,-78.85885241504941,42.8681716401493,Buffalo,.
2,BURGLARY,2015,-78.8024121891461,42.931100982181896,Buffalo,.
3,LARCENY/THEFT,2015,-78.81885150000002,42.9666981,Buffalo,.
6,LARCENY/THEFT,2015,-78.8231369658243,42.8734928537956,Buffalo,.
8,BURGLARY,2015,-78.86365085324009,42.9475403281675,Buffalo,.
9,LARCENY/THEFT,2015,-78.8046787667067,42.917541908683894,Buffalo,.
11,ASSAULT,2015,-78.875163,42.890485999999996,Buffalo,.
12,ASSAULT,2015,-78.8407899390613,42.8842105694189,Buffalo,.
14,LARCENY/THEFT,2015,-78.79936742159241,42.9146435493027,Buffalo,.
15,LARCENY/THEFT,2015,-78.8025507780369,42.9385914658285,Buffalo,.
16,LARCENY/THEFT,2015,-78.87454722152921,42.8899192808935,Buffalo,.
17,BURGLARY,2015,-78.8176428633638,42.900394320700606,Buffalo,.
18,BURGLARY,2015,-78.9031849030421,42.9436227292375,Buffalo,.
19,ASSAULT,2015,-78.8049797872968,42.855666669304796,Buffalo,.
20,BURGLARY,2015,-78.8052013819348,42.896714867826795,Buffalo,.
21,LARCENY/THEFT,2015,-78.820539676455,42.8479525606328,Buffalo,.
22,ASSAULT,2015,-78.814932532775,42.9440548069609,Buffalo,.
23,LARCENY/THEFT,2015,-78.87366037059292,42.95539024320729,Buffalo,.
25,LARCENY/THEFT,2015,-78.86606357132321,42.9115897546739,Buffalo,.
27,BURGLARY,2015,-78.8865155954783,42.9183422216997,Buffalo,.
28,BURGLARY,2015,-78.8463593439993,42.9128714649078,Buffalo,.
29,BURGLARY,2015,-78.8573983898099,42.9441805230702,Buffalo,.
30,LARCENY/THEFT,2015,-78.89303088188609,42.9072944113961,Buffalo,.
31,LARCENY/THEFT,2015,-78.8902510252576,42.9187712873251,Buffalo,.
38,UUV,2015,-78.880779986495,43.006489717128886,Buffalo,.
40,ASSAULT,2015,-78.90556499751109,42.941667914585096,Buffalo,.
45,BURGLARY,2015,-78.8689814807682,42.9048600154971,Buffalo,.
47,ASSAULT,2015,-78.80811672684399,42.9184681263646,Buffalo,.
48,BURGLARY,2015,-78.82425963976499,42.9510598322776,Buffalo,.
49,BURGLARY,2015,-78.8749234776585,42.890576855464786,Buffalo,.
51,LARCENY/THEFT,2015,-78.8780556,42.893900200000004,Buffalo,.
52,ROBBERY,2015,-78.82169224958571,42.9439586155167,Buffalo,.
