,crime,year,long,lat,city,neighborhood
145,LARCENY/THEFT,2014,-78.87308582695759,42.9125325526573,Buffalo,.
146,ROBBERY,2014,-78.8230308205177,42.90389533250371,Buffalo,.
152,LARCENY/THEFT,2014,-78.89032963740159,42.942121365723,Buffalo,.
154,ASSAULT,2014,-78.88171548077109,42.8906691107229,Buffalo,.
156,BURGLARY,2014,-78.828858465259,42.9521750416261,Buffalo,.
158,ASSAULT,2014,-78.85733,42.8391258,Buffalo,.
159,LARCENY/THEFT,2014,-78.8157762658703,42.939992183362,Buffalo,.
160,LARCENY/THEFT,2014,-78.819276307827,42.8393393009228,Buffalo,.
161,LARCENY/THEFT,2014,-78.888674242847,42.9169919877475,Buffalo,.
162,LARCENY/THEFT,2014,-78.82151283765359,42.926480577578296,Buffalo,.
165,BURGLARY,2014,-78.80625763268459,42.9412732916051,Buffalo,.
166,LARCENY/THEFT,2014,-78.8900244327987,42.9483507407496,Buffalo,.
168,ROBBERY,2014,-78.8410392463473,42.8813563644668,Buffalo,.
170,LARCENY/THEFT,2014,-78.8646920388137,42.9055017295062,Buffalo,.
171,BURGLARY,2014,-78.8646347309637,42.909315858382,Buffalo,.
173,ASSAULT,2014,-78.8383771962471,42.914426095208796,Buffalo,.
175,ASSAULT,2014,-78.8831149040693,42.8945343300575,Buffalo,.
176,LARCENY/THEFT,2014,-78.83368437230709,42.8709733333057,Buffalo,.
177,LARCENY/THEFT,2014,-78.8995815701397,42.903627147300895,Buffalo,.
178,ROBBERY,2014,-78.8032904457584,42.9155689960892,Buffalo,.
179,LARCENY/THEFT,2014,-78.8954944907881,42.9590644219739,Buffalo,.
181,UUV,2014,-78.8060547028145,42.874570037428704,Buffalo,.
187,LARCENY/THEFT,2014,-78.81314990000001,42.930283,Buffalo,.
190,LARCENY/THEFT,2014,-78.8048253369344,42.9063466149691,Buffalo,.
191,BURGLARY,2014,-78.887782039714,42.902589021635706,Buffalo,.
193,ASSAULT,2014,-78.8624848107444,42.92092770210021,Buffalo,.
197,UUV,2014,-78.8473684925747,42.904418003835396,Buffalo,.
198,ASSAULT,2014,-78.874616558757,42.8887941117462,Buffalo,.
200,BURGLARY,2014,-78.8003857758323,42.8856936808958,Buffalo,.
201,ASSAULT,2014,-78.8571884385228,42.9305165925155,Buffalo,.
202,LARCENY/THEFT,2014,-78.87858643388971,42.8996497168754,Buffalo,.
203,LARCENY/THEFT,2014,-78.8959973603773,42.9624654236651,Buffalo,.
204,ROBBERY,2014,-78.8277225640683,42.94830863492329,Buffalo,.
206,BURGLARY,2014,-78.81105441345458,42.93558405510221,Buffalo,.
207,BURGLARY,2014,-78.8155083599289,42.908438233412106,Buffalo,.
210,ROBBERY,2014,-78.86675257245301,42.9071704117586,Buffalo,.
211,ROBBERY,2014,-78.8743636115115,42.8905508411834,Buffalo,.
212,LARCENY/THEFT,2014,-78.8542837392171,42.9152675925289,Buffalo,.
