crime,year,long,lat,city,neighborhood
HOMICIDE,2016,-84.34749000000002,33.74173,Atlanta,East Atlanta
AUTO THEFT,2016,-84.38149,33.77285,Atlanta,Midtown
LARCENY-FROM VEHICLE,2016,-84.44593,33.785470000000004,Atlanta,Rockdale
LARCENY-FROM VEHICLE,2016,-84.40835,33.78196,Atlanta,Home Park
AUTO THEFT,2016,-84.49398000000002,33.69384,Atlanta,Southwest
AUTO THEFT,2016,-84.53788,33.70174,Atlanta,Sandlewood Estates
LARCENY-FROM VEHICLE,2016,-84.39636999999998,33.7632,Atlanta,Downtown
LARCENY-FROM VEHICLE,2016,-84.38866999999998,33.762570000000004,Atlanta,Downtown
LARCENY-FROM VEHICLE,2016,-84.51326999999998,33.65635,Atlanta,Princeton Lakes
LARCENY-FROM VEHICLE,2016,-84.38223,33.76126,Atlanta,Downtown
AGG ASSAULT,2016,-84.40419,33.74092,Atlanta,Mechanicsville
LARCENY-NON VEHICLE,2016,-84.41089000000002,33.77276,Atlanta,English Avenue
LARCENY-FROM VEHICLE,2016,-84.40822,33.77682,Atlanta,Marietta Street Artery
BURGLARY-RESIDENCE,2016,-84.50968,33.74349,Atlanta,Fairburn Mays
BURGLARY-NONRES,2016,-84.36085,33.80966,Atlanta,Morningside/Lenox Park
BURGLARY-NONRES,2016,-84.38839,33.78645,Atlanta,Midtown
AGG ASSAULT,2016,-84.37444,33.769009999999994,Atlanta,Old Fourth Ward
LARCENY-FROM VEHICLE,2016,-84.36811999999998,33.75135,Atlanta,Cabbagetown
LARCENY-FROM VEHICLE,2016,-84.40903,33.78051,Atlanta,Home Park
AUTO THEFT,2016,-84.42019,33.7562,Atlanta,Washington Park
BURGLARY-NONRES,2016,-84.38929,33.79213,Atlanta,Midtown
BURGLARY-RESIDENCE,2016,-84.29777,33.75374,Atlanta,East Lake
LARCENY-FROM VEHICLE,2016,-84.35903,33.74058,Atlanta,Grant Park
AUTO THEFT,2016,-84.32765,33.72745,Atlanta,East Atlanta
BURGLARY-RESIDENCE,2016,-84.34955,33.788270000000004,Atlanta,Morningside/Lenox Park
AUTO THEFT,2016,-84.43332,33.75618,Atlanta,Hunter Hills
AUTO THEFT,2016,-84.4806,33.77599,Atlanta,Collier Heights
AUTO THEFT,2016,-84.48818,33.689479999999996,Atlanta,Greenbriar
LARCENY-NON VEHICLE,2016,-84.38768,33.75996,Atlanta,Downtown
AUTO THEFT,2016,-84.48505,33.72643,Atlanta,Audobon Forest West
LARCENY-NON VEHICLE,2016,-84.40047,33.75141,Atlanta,Castleberry Hill
LARCENY-NON VEHICLE,2016,-84.38806,33.75889,Atlanta,Downtown
LARCENY-FROM VEHICLE,2016,-84.48451999999997,33.77536,Atlanta,Collier Heights
LARCENY-NON VEHICLE,2016,-84.39189,33.72631,Atlanta,Peoplestown
LARCENY-NON VEHICLE,2016,-84.36521,33.824,Atlanta,Lindbergh/Morosgo
LARCENY-NON VEHICLE,2016,-84.44255,33.73989,Atlanta,Westview
LARCENY-FROM VEHICLE,2016,-84.37165999999998,33.77272,Atlanta,Old Fourth Ward
LARCENY-FROM VEHICLE,2016,-84.37838,33.70832,Atlanta,Lakewood Heights
AUTO THEFT,2016,-84.43539,33.74066,Atlanta,Westview
LARCENY-FROM VEHICLE,2016,-84.39099,33.733979999999995,Atlanta,Summerhill
AUTO THEFT,2016,-84.4506,33.75959,Atlanta,Dixie Hills
LARCENY-FROM VEHICLE,2016,-84.36731999999998,33.80368,Atlanta,Piedmont Heights
BURGLARY-RESIDENCE,2016,-84.4379,33.71631,Atlanta,Venetian Hills
LARCENY-NON VEHICLE,2016,-84.41805,33.76661,Atlanta,Bankhead
LARCENY-FROM VEHICLE,2016,-84.4466,33.71967,Atlanta,Venetian Hills
LARCENY-FROM VEHICLE,2016,-84.41017,33.70278,Atlanta,Sylvan Hills
LARCENY-NON VEHICLE,2016,-84.39054,33.754090000000005,Atlanta,Downtown
BURGLARY-RESIDENCE,2016,-84.42246,33.7497,Atlanta,Ashview Heights
LARCENY-NON VEHICLE,2016,-84.35467,33.7734,Atlanta,Poncey-Highland
AUTO THEFT,2016,-84.47332,33.776309999999995,Atlanta,Center Hill
BURGLARY-RESIDENCE,2016,-84.38693,33.67601,Atlanta,Glenrose Heights
LARCENY-NON VEHICLE,2016,-84.41089000000002,33.77276,Atlanta,English Avenue
LARCENY-NON VEHICLE,2016,-84.38722,33.774370000000005,Atlanta,Midtown
LARCENY-NON VEHICLE,2016,-84.37991,33.75562,Atlanta,Downtown
LARCENY-FROM VEHICLE,2016,-84.42787,33.79625,Atlanta,Blandtown
AGG ASSAULT,2016,-84.53721,33.68594,Atlanta,Fairway Acres
AGG ASSAULT,2016,-84.3781,33.70874,Atlanta,Lakewood Heights
BURGLARY-RESIDENCE,2016,-84.5183,33.752520000000004,Atlanta,Wilson Mill Meadows
AUTO THEFT,2016,-84.41449,33.733579999999996,Atlanta,West End
LARCENY-NON VEHICLE,2016,-84.45772,33.700109999999995,Atlanta,Campbellton Road
LARCENY-FROM VEHICLE,2016,-84.38609,33.79356,Atlanta,Midtown
LARCENY-FROM VEHICLE,2016,-84.38996,33.75119,Atlanta,Downtown
LARCENY-FROM VEHICLE,2016,-84.41915,33.7518,Atlanta,Ashview Heights
AUTO THEFT,2016,-84.40371,33.7499,Atlanta,Castleberry Hill
LARCENY-FROM VEHICLE,2016,-84.3882,33.79345,Atlanta,Midtown
LARCENY-FROM VEHICLE,2016,-84.47594000000002,33.81125,Atlanta,Riverside
ROBBERY-PEDESTRIAN,2016,-84.46435,33.75222,Atlanta,Florida Heights
AUTO THEFT,2016,-84.49773,33.68677,Atlanta,Greenbriar
LARCENY-FROM VEHICLE,2016,-84.40983,33.78267,Atlanta,Home Park
AGG ASSAULT,2016,-84.35602,33.74067,Atlanta,Ormewood Park
ROBBERY-PEDESTRIAN,2016,-84.3721,33.75253,Atlanta,Sweet Auburn
LARCENY-FROM VEHICLE,2016,-84.3708,33.75339,Atlanta,Old Fourth Ward
LARCENY-NON VEHICLE,2016,-84.51037,33.691359999999996,Atlanta,Ben Hill Acres
AUTO THEFT,2016,-84.38288,33.85641,Atlanta,East Chastain Park
AUTO THEFT,2016,-84.36211999999998,33.846759999999996,Atlanta,Lenox
LARCENY-NON VEHICLE,2016,-84.35947,33.848,Atlanta,Lenox
