crime,year,long,lat,city,neighborhood
BURGLARY-RESIDENCE,2011,-84.35849,33.709790000000005,Atlanta,Custer/McDonough/Guice
AUTO THEFT,2011,-84.49488000000002,33.6827,Atlanta,Greenbriar
ROBBERY-RESIDENCE,2011,-84.34908,33.81477,Atlanta,Lindridge/Martin Manor
AUTO THEFT,2011,-84.37442,33.75932,Atlanta,Sweet Auburn
AUTO THEFT,2011,-84.49580999999998,33.68365,Atlanta,Greenbriar
LARCENY-NON VEHICLE,2011,-84.44285,33.74328,Atlanta,Westview
LARCENY-NON VEHICLE,2011,-84.38959,33.786970000000004,Atlanta,Midtown
LARCENY-NON VEHICLE,2011,-84.43276,33.73812,Atlanta,West End
BURGLARY-RESIDENCE,2011,-84.4634,33.704390000000004,Atlanta,Campbellton Road
AUTO THEFT,2011,-84.3819,33.773559999999996,Atlanta,Midtown
AUTO THEFT,2011,-84.37151999999998,33.681490000000004,Atlanta,Rosedale Heights
LARCENY-NON VEHICLE,2011,-84.36326,33.74408,Atlanta,Grant Park
LARCENY-NON VEHICLE,2011,-84.40656,33.73809,Atlanta,Pittsburgh
AUTO THEFT,2011,-84.41471,33.79565,Atlanta,Berkeley Park
AUTO THEFT,2011,-84.37857,33.77248,Atlanta,Midtown
AUTO THEFT,2011,-84.31255,33.75826,Atlanta,Kirkwood
AUTO THEFT,2011,-84.35895,33.73621,Atlanta,Ormewood Park
LARCENY-NON VEHICLE,2011,-84.37955,33.724579999999996,Atlanta,Peoplestown
AUTO THEFT,2011,-84.45571,33.70928,Atlanta,Adams Park
BURGLARY-RESIDENCE,2011,-84.35375,33.65631,Atlanta,South River Gardens
LARCENY-NON VEHICLE,2011,-84.50433000000002,33.76126,Atlanta,Adamsville
LARCENY-FROM VEHICLE,2011,-84.47292,33.7881,Atlanta,Carey Park
AUTO THEFT,2011,-84.37406999999997,33.80964,Atlanta,Piedmont Heights
BURGLARY-RESIDENCE,2011,-84.38391999999997,33.72845,Atlanta,Peoplestown
LARCENY-FROM VEHICLE,2011,-84.38790999999998,33.78699,Atlanta,Midtown
LARCENY-FROM VEHICLE,2011,-84.42949,33.74368,Atlanta,West End
BURGLARY-RESIDENCE,2011,-84.4492,33.81667,Atlanta,Bolton
LARCENY-NON VEHICLE,2011,-84.44742,33.75533,Atlanta,Dixie Hills
BURGLARY-RESIDENCE,2011,-84.50950999999998,33.760059999999996,Atlanta,Wisteria Gardens
LARCENY-NON VEHICLE,2011,-84.36196,33.75773,Atlanta,Inman Park
AUTO THEFT,2011,-84.3795,33.75124,Atlanta,Sweet Auburn
BURGLARY-RESIDENCE,2011,-84.38389000000002,33.70639,Atlanta,Lakewood Heights
LARCENY-NON VEHICLE,2011,-84.40572,33.7918,Atlanta,Loring Heights
LARCENY-NON VEHICLE,2011,-84.37225,33.77066,Atlanta,Old Fourth Ward
AUTO THEFT,2011,-84.39654,33.740829999999995,Atlanta,Mechanicsville
LARCENY-FROM VEHICLE,2011,-84.3529,33.7775,Atlanta,Virginia Highland
ROBBERY-PEDESTRIAN,2011,-84.40825,33.72237,Atlanta,Adair Park
BURGLARY-RESIDENCE,2011,-84.37767,33.870290000000004,Atlanta,North Buckhead
AGG ASSAULT,2011,-84.40177,33.733959999999996,Atlanta,Pittsburgh
LARCENY-NON VEHICLE,2011,-84.41278,33.80388,Atlanta,Berkeley Park
LARCENY-NON VEHICLE,2011,-84.5205,33.6798,Atlanta,Fairburn Tell
LARCENY-FROM VEHICLE,2011,-84.38866,33.78083,Atlanta,Midtown
ROBBERY-PEDESTRIAN,2011,-84.43630999999998,33.74222,Atlanta,Westview
LARCENY-NON VEHICLE,2011,-84.45214,33.7774,Atlanta,Grove Park
LARCENY-FROM VEHICLE,2011,-84.41346999999998,33.81022,Atlanta,Wildwood (NPU-C)
LARCENY-FROM VEHICLE,2011,-84.3922,33.7711,Atlanta,Downtown
BURGLARY-RESIDENCE,2011,-84.42364,33.81463,Atlanta,Cross Creek
AUTO THEFT,2011,-84.46700000000001,33.751529999999995,Atlanta,Florida Heights
BURGLARY-RESIDENCE,2011,-84.50347,33.71374,Atlanta,Cascade Green
LARCENY-NON VEHICLE,2011,-84.38976,33.659490000000005,Atlanta,Glenrose Heights
BURGLARY-NONRES,2011,-84.36864,33.718109999999996,Atlanta,Chosewood Park
LARCENY-FROM VEHICLE,2011,-84.39702,33.76269,Atlanta,Downtown
BURGLARY-RESIDENCE,2011,-84.52533000000003,33.70807,Atlanta,Niskey Cove
AGG ASSAULT,2011,-84.38107,33.68801,Atlanta,Browns Mill Park
LARCENY-NON VEHICLE,2011,-84.404,33.73251,Atlanta,Pittsburgh
AUTO THEFT,2011,-84.39844000000002,33.750209999999996,Atlanta,Castleberry Hill
AUTO THEFT,2011,-84.52315,33.71771,Atlanta,Ashley Courts
BURGLARY-RESIDENCE,2011,-84.50078,33.76425,Atlanta,Adamsville
BURGLARY-RESIDENCE,2011,-84.41489,33.76101,Atlanta,Vine City
BURGLARY-RESIDENCE,2011,-84.3973,33.73833,Atlanta,Mechanicsville
BURGLARY-RESIDENCE,2011,-84.40177,33.733959999999996,Atlanta,Pittsburgh
BURGLARY-RESIDENCE,2011,-84.35506,33.74034,Atlanta,Ormewood Park
AUTO THEFT,2011,-84.40099000000002,33.79163,Atlanta,Atlantic Station
