crime,year,long,lat,city,neighborhood
LARCENY-FROM VEHICLE,2014,-84.3777,33.70831,Atlanta,Lakewood Heights
ROBBERY-PEDESTRIAN,2014,-84.40693,33.76797,Atlanta,English Avenue
AGG ASSAULT,2014,-84.46574,33.7005,Atlanta,Campbellton Road
ROBBERY-PEDESTRIAN,2014,-84.39199,33.7485,Atlanta,Downtown
AUTO THEFT,2014,-84.42725,33.78917,Atlanta,Blandtown
BURGLARY-RESIDENCE,2014,-84.3356,33.759440000000005,Atlanta,Edgewood
LARCENY-FROM VEHICLE,2014,-84.38143000000002,33.83705,Atlanta,Garden Hills
RAPE,2014,-84.41447,33.75598,Atlanta,Vine City
ROBBERY-PEDESTRIAN,2014,-84.5343,33.692009999999996,Atlanta,Elmco Estates
AGG ASSAULT,2014,-84.34865,33.765609999999995,Atlanta,Candler Park
LARCENY-FROM VEHICLE,2014,-84.41695,33.809779999999996,Atlanta,Wildwood (NPU-C)
AUTO THEFT,2014,-84.3741,33.84847,Atlanta,North Buckhead
AUTO THEFT,2014,-84.42560999999998,33.80058,Atlanta,Blandtown
LARCENY-FROM VEHICLE,2014,-84.41569,33.79554,Atlanta,Berkeley Park
ROBBERY-COMMERCIAL,2014,-84.46811,33.75196,Atlanta,Harland Terrace
LARCENY-FROM VEHICLE,2014,-84.36248,33.76703,Atlanta,Old Fourth Ward
LARCENY-NON VEHICLE,2014,-84.45576,33.70355,Atlanta,Campbellton Road
BURGLARY-RESIDENCE,2014,-84.38799,33.85718,Atlanta,Tuxedo Park
LARCENY-FROM VEHICLE,2014,-84.41766,33.75459,Atlanta,Ashview Heights
AUTO THEFT,2014,-84.45877,33.78792,Atlanta,Almond Park
LARCENY-FROM VEHICLE,2014,-84.35919,33.77533,Atlanta,Virginia Highland
AUTO THEFT,2014,-84.41368,33.75804,Atlanta,Vine City
LARCENY-NON VEHICLE,2014,-84.33599,33.747409999999995,Atlanta,Kirkwood
BURGLARY-NONRES,2014,-84.38167,33.78403,Atlanta,Midtown
LARCENY-FROM VEHICLE,2014,-84.38896,33.7983,Atlanta,Midtown
LARCENY-FROM VEHICLE,2014,-84.37646,33.75375,Atlanta,Sweet Auburn
LARCENY-NON VEHICLE,2014,-84.48518,33.80865,Atlanta,Whittier Mill Village
BURGLARY-RESIDENCE,2014,-84.41168,33.72607,Atlanta,Adair Park
LARCENY-FROM VEHICLE,2014,-84.39408,33.73294,Atlanta,Mechanicsville
BURGLARY-RESIDENCE,2014,-84.40177,33.733959999999996,Atlanta,Pittsburgh
AUTO THEFT,2014,-84.37673000000002,33.74798,Atlanta,Oakland
BURGLARY-RESIDENCE,2014,-84.43862,33.72991,Atlanta,Cascade Avenue/Road
LARCENY-NON VEHICLE,2014,-84.46098,33.75835,Atlanta,Dixie Hills
AUTO THEFT,2014,-84.41247,33.76444,Atlanta,English Avenue
ROBBERY-PEDESTRIAN,2014,-84.42156,33.74329,Atlanta,Harris Chiles
BURGLARY-RESIDENCE,2014,-84.43809,33.73376,Atlanta,Westview
