crime,year,long,lat,city,neighborhood
LARCENY-NON VEHICLE,2015,-84.35616999999998,33.70133,Atlanta,Thomasville Heights
LARCENY-FROM VEHICLE,2015,-84.38514,33.76981,Atlanta,Downtown
ROBBERY-PEDESTRIAN,2015,-84.37294,33.75183,Atlanta,Sweet Auburn
ROBBERY-COMMERCIAL,2015,-84.38101999999998,33.85865,Atlanta,East Chastain Park
LARCENY-FROM VEHICLE,2015,-84.41063,33.77987,Atlanta,Home Park
AGG ASSAULT,2015,-84.37313,33.7714,Atlanta,Old Fourth Ward
AGG ASSAULT,2015,-84.45770999999998,33.7574,Atlanta,Dixie Hills
LARCENY-FROM VEHICLE,2015,-84.41155,33.76334,Atlanta,Vine City
ROBBERY-PEDESTRIAN,2015,-84.4387,33.71334,Atlanta,Venetian Hills
LARCENY-FROM VEHICLE,2015,-84.39599,33.750479999999996,Atlanta,Downtown
AGG ASSAULT,2015,-84.35004,33.7118,Atlanta,Custer/McDonough/Guice
LARCENY-FROM VEHICLE,2015,-84.3976,33.76462,Atlanta,Downtown
ROBBERY-COMMERCIAL,2015,-84.40829000000002,33.67677,Atlanta,Hammond Park
LARCENY-FROM VEHICLE,2015,-84.4269,33.74071,Atlanta,West End
AUTO THEFT,2015,-84.38306999999998,33.78431,Atlanta,Midtown
BURGLARY-NONRES,2015,-84.42575,33.795790000000004,Atlanta,Blandtown
BURGLARY-RESIDENCE,2015,-84.37514,33.663779999999996,Atlanta,Orchard Knob
LARCENY-FROM VEHICLE,2015,-84.44039000000002,33.739979999999996,Atlanta,Westview
LARCENY-FROM VEHICLE,2015,-84.35664,33.73966,Atlanta,Ormewood Park
LARCENY-NON VEHICLE,2015,-84.37961999999997,33.70965,Atlanta,Lakewood Heights
LARCENY-FROM VEHICLE,2015,-84.36740999999998,33.76193,Atlanta,Old Fourth Ward
LARCENY-FROM VEHICLE,2015,-84.38378,33.78179,Atlanta,Midtown
LARCENY-FROM VEHICLE,2015,-84.38289,33.74552,Atlanta,Capitol Gateway
LARCENY-FROM VEHICLE,2015,-84.40541999999998,33.76481,Atlanta,English Avenue
ROBBERY-PEDESTRIAN,2015,-84.41209,33.75204,Atlanta,Atlanta University Center
BURGLARY-RESIDENCE,2015,-84.41885,33.75196,Atlanta,Ashview Heights
AUTO THEFT,2015,-84.40865,33.7778,Atlanta,Marietta Street Artery
LARCENY-NON VEHICLE,2015,-84.34619,33.75674,Atlanta,Edgewood
ROBBERY-COMMERCIAL,2015,-84.39544000000002,33.79275,Atlanta,Atlantic Station
BURGLARY-RESIDENCE,2015,-84.35186999999998,33.74968,Atlanta,Reynoldstown
LARCENY-FROM VEHICLE,2015,-84.3517,33.76359,Atlanta,Inman Park
LARCENY-FROM VEHICLE,2015,-84.40334,33.7463,Atlanta,Castleberry Hill
AGG ASSAULT,2015,-84.4184,33.69981,Atlanta,Sylvan Hills
LARCENY-NON VEHICLE,2015,-84.38388,33.79333,Atlanta,Ansley Park
LARCENY-NON VEHICLE,2015,-84.49773,33.68677,Atlanta,Greenbriar
LARCENY-NON VEHICLE,2015,-84.36328,33.82403,Atlanta,Lindbergh/Morosgo
LARCENY-NON VEHICLE,2015,-84.37462,33.84564,Atlanta,Buckhead Forest
ROBBERY-PEDESTRIAN,2015,-84.39808000000002,33.74275,Atlanta,Mechanicsville
BURGLARY-RESIDENCE,2015,-84.35403000000002,33.78082,Atlanta,Virginia Highland
LARCENY-FROM VEHICLE,2015,-84.37854,33.77277,Atlanta,Midtown
BURGLARY-NONRES,2015,-84.41695,33.79902,Atlanta,Berkeley Park
ROBBERY-PEDESTRIAN,2015,-84.41281,33.757870000000004,Atlanta,Vine City
LARCENY-NON VEHICLE,2015,-84.39889000000002,33.67725,Atlanta,Hammond Park
LARCENY-FROM VEHICLE,2015,-84.4872,33.69168,Atlanta,Greenbriar
BURGLARY-RESIDENCE,2015,-84.45336,33.70518,Atlanta,Campbellton Road
AGG ASSAULT,2015,-84.42619,33.7636,Atlanta,Bankhead
LARCENY-NON VEHICLE,2015,-84.36211999999998,33.846759999999996,Atlanta,Lenox
BURGLARY-RESIDENCE,2015,-84.37148,33.6933,Atlanta,Lakewood
AUTO THEFT,2015,-84.42459000000002,33.7393,Atlanta,West End
BURGLARY-RESIDENCE,2015,-84.35677,33.71055,Atlanta,Custer/McDonough/Guice
LARCENY-FROM VEHICLE,2015,-84.51309,33.657379999999996,Atlanta,Princeton Lakes
BURGLARY-RESIDENCE,2015,-84.44469000000002,33.77035,Atlanta,Grove Park
BURGLARY-RESIDENCE,2015,-84.46025999999998,33.784209999999995,Atlanta,Almond Park
ROBBERY-PEDESTRIAN,2015,-84.34852,33.74253,Atlanta,East Atlanta
LARCENY-FROM VEHICLE,2015,-84.40468,33.788740000000004,Atlanta,Atlantic Station
LARCENY-FROM VEHICLE,2015,-84.38068,33.874970000000005,Atlanta,North Buckhead
AGG ASSAULT,2015,-84.38943,33.77138,Atlanta,Midtown
