crime,year,long,lat,city,neighborhood
BURGLARY-RESIDENCE,2012,-84.36201,33.72918,Atlanta,Ormewood Park
ROBBERY-PEDESTRIAN,2012,-84.49483000000002,33.7749,Atlanta,Collier Heights
ROBBERY-PEDESTRIAN,2012,-84.39079,33.71347,Atlanta,The Villages at Carver
BURGLARY-RESIDENCE,2012,-84.36241,33.82055,Atlanta,Lindbergh/Morosgo
ROBBERY-RESIDENCE,2012,-84.45149,33.70055,Atlanta,Fort Valley
BURGLARY-RESIDENCE,2012,-84.47292,33.7881,Atlanta,Carey Park
LARCENY-FROM VEHICLE,2012,-84.38101,33.77926,Atlanta,Midtown
LARCENY-FROM VEHICLE,2012,-84.35284,33.773740000000004,Atlanta,Poncey-Highland
AUTO THEFT,2012,-84.39517,33.74805,Atlanta,Downtown
AUTO THEFT,2012,-84.46503,33.75677,Atlanta,Dixie Hills
LARCENY-NON VEHICLE,2012,-84.38221,33.77923,Atlanta,Midtown
LARCENY-FROM VEHICLE,2012,-84.40401,33.74355,Atlanta,Mechanicsville
BURGLARY-RESIDENCE,2012,-84.36936999999998,33.67977,Atlanta,Rosedale Heights
LARCENY-FROM VEHICLE,2012,-84.36717,33.779090000000004,Atlanta,Midtown
LARCENY-NON VEHICLE,2012,-84.44187,33.7172,Atlanta,Venetian Hills
LARCENY-NON VEHICLE,2012,-84.40191999999998,33.72757,Atlanta,Pittsburgh
LARCENY-FROM VEHICLE,2012,-84.45687,33.779759999999996,Atlanta,Grove Park
AUTO THEFT,2012,-84.4254,33.7468,Atlanta,West End
BURGLARY-RESIDENCE,2012,-84.43182,33.848690000000005,Atlanta,Paces
AGG ASSAULT,2012,-84.51289,33.65551,Atlanta,Princeton Lakes
AGG ASSAULT,2012,-84.43914000000002,33.76331,Atlanta,West Lake
AUTO THEFT,2012,-84.35159,33.761070000000004,Atlanta,Inman Park
LARCENY-FROM VEHICLE,2012,-84.41738000000002,33.74057,Atlanta,West End
BURGLARY-RESIDENCE,2012,-84.45149,33.70055,Atlanta,Fort Valley
LARCENY-FROM VEHICLE,2012,-84.38465,33.735040000000005,Atlanta,Summerhill
LARCENY-FROM VEHICLE,2012,-84.41318000000003,33.80733,Atlanta,Wildwood (NPU-C)
ROBBERY-PEDESTRIAN,2012,-84.47306999999998,33.77595,Atlanta,Center Hill
AUTO THEFT,2012,-84.41018000000003,33.7008,Atlanta,Sylvan Hills
BURGLARY-RESIDENCE,2012,-84.42786,33.715559999999996,Atlanta,Oakland City
LARCENY-FROM VEHICLE,2012,-84.38410999999998,33.75428,Atlanta,Downtown
AUTO THEFT,2012,-84.46637,33.70382,Atlanta,Campbellton Road
ROBBERY-PEDESTRIAN,2012,-84.41803,33.70008,Atlanta,Sylvan Hills
BURGLARY-RESIDENCE,2012,-84.46165,33.70012,Atlanta,Campbellton Road
AUTO THEFT,2012,-84.39731,33.73794,Atlanta,Mechanicsville
BURGLARY-RESIDENCE,2012,-84.46865,33.704879999999996,Atlanta,Southwest
LARCENY-FROM VEHICLE,2012,-84.38498,33.78485,Atlanta,Midtown
AGG ASSAULT,2012,-84.44069,33.76729,Atlanta,Grove Park
ROBBERY-RESIDENCE,2012,-84.41235999999998,33.758559999999996,Atlanta,Vine City
LARCENY-FROM VEHICLE,2012,-84.38297,33.7678,Atlanta,Downtown
LARCENY-FROM VEHICLE,2012,-84.41134,33.73425,Atlanta,Adair Park
LARCENY-FROM VEHICLE,2012,-84.40848000000003,33.79421,Atlanta,Berkeley Park
LARCENY-FROM VEHICLE,2012,-84.42582,33.74106,Atlanta,West End
LARCENY-FROM VEHICLE,2012,-84.46288,33.7755,Atlanta,Center Hill
AGG ASSAULT,2012,-84.39256999999998,33.771190000000004,Atlanta,Downtown
LARCENY-FROM VEHICLE,2012,-84.40779,33.74481,Atlanta,The Villages at Castleberry H
AUTO THEFT,2012,-84.49443000000002,33.67308,Atlanta,Greenbriar
BURGLARY-NONRES,2012,-84.41529,33.80243,Atlanta,Underwood Hills
LARCENY-FROM VEHICLE,2012,-84.38419,33.66178,Atlanta,Glenrose Heights
LARCENY-FROM VEHICLE,2012,-84.49184,33.79719,Atlanta,Atlanta Industrial Park
AUTO THEFT,2012,-84.44539,33.78541,Atlanta,Rockdale
BURGLARY-RESIDENCE,2012,-84.38774000000002,33.69216,Atlanta,Swallow Circle/Baywood
LARCENY-FROM VEHICLE,2012,-84.36638,33.736999999999995,Atlanta,Grant Park
LARCENY-FROM VEHICLE,2012,-84.38421,33.77953,Atlanta,Midtown
BURGLARY-RESIDENCE,2012,-84.52265,33.71745,Atlanta,Ashley Courts
AUTO THEFT,2012,-84.39416999999997,33.68294,Atlanta,Browns Mill Park
AUTO THEFT,2012,-84.47182,33.76167,Atlanta,Collier Heights
AUTO THEFT,2012,-84.38604000000002,33.74447,Atlanta,Capitol Gateway
AUTO THEFT,2012,-84.49157,33.71949,Atlanta,Cascade Heights
BURGLARY-RESIDENCE,2012,-84.3563,33.8278,Atlanta,Pine Hills
AUTO THEFT,2012,-84.51514,33.77385,Atlanta,Carroll Heights
LARCENY-FROM VEHICLE,2012,-84.36391,33.76124,Atlanta,Old Fourth Ward
BURGLARY-RESIDENCE,2012,-84.51059000000002,33.73454,Atlanta,Fairburn Mays
AUTO THEFT,2012,-84.42574,33.73597,Atlanta,West End
LARCENY-NON VEHICLE,2012,-84.39201,33.7532,Atlanta,Downtown
AUTO THEFT,2012,-84.36176999999998,33.773709999999994,Atlanta,Poncey-Highland
LARCENY-NON VEHICLE,2012,-84.38045,33.86007,Atlanta,North Buckhead
LARCENY-FROM VEHICLE,2012,-84.47471999999998,33.77666,Atlanta,Collier Heights
BURGLARY-RESIDENCE,2012,-84.44195,33.73462,Atlanta,Westview
LARCENY-NON VEHICLE,2012,-84.40491999999998,33.79152,Atlanta,Loring Heights
AUTO THEFT,2012,-84.44861,33.817009999999996,Atlanta,Bolton
LARCENY-NON VEHICLE,2012,-84.36211999999998,33.846759999999996,Atlanta,Lenox
LARCENY-NON VEHICLE,2012,-84.40884,33.77094,Atlanta,English Avenue
AGG ASSAULT,2012,-84.39017,33.73249000000001,Atlanta,Summerhill
BURGLARY-RESIDENCE,2012,-84.47977,33.75142,Atlanta,Harland Terrace
BURGLARY-RESIDENCE,2012,-84.51561,33.68098,Atlanta,Fairburn Tell
ROBBERY-COMMERCIAL,2012,-84.3924,33.68101,Atlanta,Glenrose Heights
LARCENY-FROM VEHICLE,2012,-84.42109,33.753820000000005,Atlanta,Ashview Heights
LARCENY-NON VEHICLE,2012,-84.41563000000002,33.70424000000001,Atlanta,Sylvan Hills
LARCENY-NON VEHICLE,2012,-84.48742,33.68841,Atlanta,Greenbriar
LARCENY-FROM VEHICLE,2012,-84.39917,33.71594,Atlanta,Capitol View Manor
LARCENY-NON VEHICLE,2012,-84.38044000000002,33.84251,Atlanta,South Tuxedo Park
LARCENY-NON VEHICLE,2012,-84.40173,33.72874,Atlanta,Pittsburgh
BURGLARY-RESIDENCE,2012,-84.38804,33.71621,Atlanta,South Atlanta
LARCENY-NON VEHICLE,2012,-84.43276,33.73812,Atlanta,West End
BURGLARY-RESIDENCE,2012,-84.51495,33.695570000000004,Atlanta,Kings Forest
LARCENY-FROM VEHICLE,2012,-84.38894,33.77964,Atlanta,Midtown
BURGLARY-RESIDENCE,2012,-84.40236999999998,33.70413,Atlanta,Lakewood Heights
LARCENY-FROM VEHICLE,2012,-84.41771,33.74279,Atlanta,Harris Chiles
AUTO THEFT,2012,-84.40773,33.72981,Atlanta,Pittsburgh
LARCENY-NON VEHICLE,2012,-84.36308000000002,33.809979999999996,Atlanta,Morningside/Lenox Park
LARCENY-FROM VEHICLE,2012,-84.36644,33.76124,Atlanta,Old Fourth Ward
AUTO THEFT,2012,-84.34299999999998,33.760490000000004,Atlanta,Edgewood
LARCENY-NON VEHICLE,2012,-84.41643,33.73788,Atlanta,West End
LARCENY-NON VEHICLE,2012,-84.37048,33.79619,Atlanta,Piedmont Heights
ROBBERY-RESIDENCE,2012,-84.44119,33.7674,Atlanta,Grove Park
BURGLARY-RESIDENCE,2012,-84.35805,33.69307,Atlanta,Norwood Manor
LARCENY-NON VEHICLE,2012,-84.36561,33.77469,Atlanta,Midtown
LARCENY-FROM VEHICLE,2012,-84.43151999999998,33.85557,Atlanta,Mt. Paran/Northside
AUTO THEFT,2012,-84.35467,33.7734,Atlanta,Poncey-Highland
LARCENY-NON VEHICLE,2012,-84.41278,33.80388,Atlanta,Berkeley Park
BURGLARY-RESIDENCE,2012,-84.43241,33.72772,Atlanta,Bush Mountain
LARCENY-FROM VEHICLE,2012,-84.39202,33.875890000000005,Atlanta,Chastain Park
LARCENY-FROM VEHICLE,2012,-84.39373,33.8752,Atlanta,Chastain Park
LARCENY-FROM VEHICLE,2012,-84.38596,33.75889,Atlanta,Downtown
AUTO THEFT,2012,-84.32122,33.763009999999994,Atlanta,Lake Claire
BURGLARY-RESIDENCE,2012,-84.41671,33.76858,Atlanta,English Avenue
LARCENY-NON VEHICLE,2012,-84.41751,33.7398,Atlanta,West End
AUTO THEFT,2012,-84.39057,33.66699000000001,Atlanta,Glenrose Heights
LARCENY-FROM VEHICLE,2012,-84.36899,33.745709999999995,Atlanta,Grant Park
BURGLARY-RESIDENCE,2012,-84.49901,33.77948,Atlanta,Bankhead/Bolton
LARCENY-FROM VEHICLE,2012,-84.41178000000002,33.820190000000004,Atlanta,Woodfield
LARCENY-NON VEHICLE,2012,-84.38533000000002,33.77831,Atlanta,Midtown
AUTO THEFT,2012,-84.4136,33.7388,Atlanta,West End
BURGLARY-RESIDENCE,2012,-84.44406,33.73502,Atlanta,Westview
AUTO THEFT,2012,-84.37405,33.762859999999996,Atlanta,Old Fourth Ward
