crime,year,long,lat,city,neighborhood
LARCENY-NON VEHICLE,2010,-84.38895,33.77101,Atlanta,Downtown
AUTO THEFT,2010,-84.4168,33.74057,Atlanta,West End
LARCENY-FROM VEHICLE,2010,-84.40774,33.71803,Atlanta,Capitol View Manor
AUTO THEFT,2010,-84.39674000000002,33.70731,Atlanta,Betmar LaVilla
LARCENY-NON VEHICLE,2010,-84.36626,33.75947,Atlanta,Old Fourth Ward
BURGLARY-RESIDENCE,2010,-84.40133,33.828379999999996,Atlanta,Peachtree Battle Alliance
ROBBERY-PEDESTRIAN,2010,-84.45498,33.70537,Atlanta,Campbellton Road
LARCENY-NON VEHICLE,2010,-84.45724,33.701209999999996,Atlanta,Campbellton Road
LARCENY-FROM VEHICLE,2010,-84.42627,33.83193,Atlanta,Brandon
LARCENY-FROM VEHICLE,2010,-84.38746,33.7604,Atlanta,Downtown
AGG ASSAULT,2010,-84.3516,33.763090000000005,Atlanta,Inman Park
AGG ASSAULT,2010,-84.46072,33.77725,Atlanta,Center Hill
LARCENY-FROM VEHICLE,2010,-84.36055999999998,33.84922,Atlanta,Lenox
LARCENY-FROM VEHICLE,2010,-84.36131,33.82674,Atlanta,Lindbergh/Morosgo
RAPE,2010,-84.38769,33.75946,Atlanta,Downtown
LARCENY-NON VEHICLE,2010,-84.38895,33.77101,Atlanta,Downtown
AUTO THEFT,2010,-84.39454,33.74075,Atlanta,Mechanicsville
AGG ASSAULT,2010,-84.35916,33.70604,Atlanta,Thomasville Heights
LARCENY-FROM VEHICLE,2010,-84.36706,33.82543,Atlanta,Lindbergh/Morosgo
LARCENY-NON VEHICLE,2010,-84.37812,33.73611,Atlanta,Grant Park
AUTO THEFT,2010,-84.34501,33.75795,Atlanta,Edgewood
LARCENY-FROM VEHICLE,2010,-84.35325999999998,33.8199,Atlanta,Lindridge/Martin Manor
BURGLARY-RESIDENCE,2010,-84.39775999999998,33.80253,Atlanta,Brookwood
AUTO THEFT,2010,-84.49901,33.77948,Atlanta,Bankhead/Bolton
LARCENY-NON VEHICLE,2010,-84.38855,33.76089,Atlanta,Downtown
AGG ASSAULT,2010,-84.40073000000002,33.69935,Atlanta,Lakewood Heights
LARCENY-FROM VEHICLE,2010,-84.40378,33.7456,Atlanta,Castleberry Hill
LARCENY-FROM VEHICLE,2010,-84.38476999999997,33.77368,Atlanta,Midtown
BURGLARY-RESIDENCE,2010,-84.40755,33.74662,Atlanta,The Villages at Castleberry H
AUTO THEFT,2010,-84.37852,33.71875,Atlanta,Chosewood Park
ROBBERY-PEDESTRIAN,2010,-84.36697,33.72273,Atlanta,Boulevard Heights
BURGLARY-NONRES,2010,-84.36561999999998,33.771209999999996,Atlanta,Old Fourth Ward
LARCENY-FROM VEHICLE,2010,-84.4543,33.715090000000004,Atlanta,Adams Park
AGG ASSAULT,2010,-84.49403000000002,33.6697,Atlanta,Greenbriar
BURGLARY-RESIDENCE,2010,-84.29171,33.74446,Atlanta,East Lake
LARCENY-FROM VEHICLE,2010,-84.44924,33.73611,Atlanta,Westwood Terrace
BURGLARY-NONRES,2010,-84.47873,33.75615,Atlanta,Westhaven
AUTO THEFT,2010,-84.51637,33.6924,Atlanta,Kings Forest
AUTO THEFT,2010,-84.37075,33.849109999999996,Atlanta,North Buckhead
LARCENY-NON VEHICLE,2010,-84.35908,33.82606,Atlanta,Pine Hills
AUTO THEFT,2010,-84.41909,33.74385,Atlanta,Harris Chiles
LARCENY-NON VEHICLE,2010,-84.399,33.79592,Atlanta,Loring Heights
LARCENY-FROM VEHICLE,2010,-84.46253,33.75973,Atlanta,Dixie Hills
LARCENY-FROM VEHICLE,2010,-84.40905,33.748259999999995,Atlanta,Atlanta University Center
LARCENY-FROM VEHICLE,2010,-84.36835,33.78243,Atlanta,Virginia Highland
BURGLARY-RESIDENCE,2010,-84.41967,33.76982,Atlanta,Bankhead
AUTO THEFT,2010,-84.34559,33.73892,Atlanta,East Atlanta
LARCENY-NON VEHICLE,2010,-84.34745,33.742490000000004,Atlanta,East Atlanta
AUTO THEFT,2010,-84.39813000000002,33.78548,Atlanta,Home Park
LARCENY-FROM VEHICLE,2010,-84.38418,33.760940000000005,Atlanta,Downtown
LARCENY-NON VEHICLE,2010,-84.39104,33.75543,Atlanta,Downtown
LARCENY-NON VEHICLE,2010,-84.36211999999998,33.846759999999996,Atlanta,Lenox
BURGLARY-RESIDENCE,2010,-84.39688000000002,33.8193,Atlanta,Peachtree Battle Alliance
LARCENY-NON VEHICLE,2010,-84.3734,33.76822,Atlanta,Old Fourth Ward
LARCENY-FROM VEHICLE,2010,-84.38274,33.77843,Atlanta,Midtown
LARCENY-NON VEHICLE,2010,-84.36211999999998,33.846759999999996,Atlanta,Lenox
LARCENY-FROM VEHICLE,2010,-84.3825,33.78175,Atlanta,Midtown
LARCENY-FROM VEHICLE,2010,-84.35148000000002,33.79351,Atlanta,Morningside/Lenox Park
LARCENY-FROM VEHICLE,2010,-84.41490999999998,33.75327,Atlanta,Atlanta University Center
AUTO THEFT,2010,-84.39654,33.740829999999995,Atlanta,Mechanicsville
BURGLARY-RESIDENCE,2010,-84.49651,33.73257,Atlanta,Green Forest Acres
BURGLARY-RESIDENCE,2010,-84.35813,33.7088,Atlanta,Custer/McDonough/Guice
AGG ASSAULT,2010,-84.45178,33.78545,Atlanta,Grove Park
LARCENY-FROM VEHICLE,2010,-84.38986,33.75399,Atlanta,Downtown
AUTO THEFT,2010,-84.37405,33.762859999999996,Atlanta,Old Fourth Ward
AGG ASSAULT,2010,-84.38684,33.6685,Atlanta,Glenrose Heights
LARCENY-NON VEHICLE,2010,-84.38964,33.751940000000005,Atlanta,Downtown
LARCENY-FROM VEHICLE,2010,-84.41751,33.7398,Atlanta,West End
LARCENY-NON VEHICLE,2010,-84.41278,33.80388,Atlanta,Berkeley Park
AUTO THEFT,2010,-84.42786,33.78633,Atlanta,Knight Park/Howell Station
LARCENY-NON VEHICLE,2010,-84.36211999999998,33.846759999999996,Atlanta,Lenox
LARCENY-NON VEHICLE,2010,-84.34908,33.81477,Atlanta,Lindridge/Martin Manor
LARCENY-NON VEHICLE,2010,-84.41278,33.80388,Atlanta,Berkeley Park
LARCENY-FROM VEHICLE,2010,-84.38083,33.751870000000004,Atlanta,Downtown
LARCENY-NON VEHICLE,2010,-84.42425,33.72418,Atlanta,Oakland City
AUTO THEFT,2010,-84.38579,33.82924000000001,Atlanta,Garden Hills
LARCENY-FROM VEHICLE,2010,-84.35081,33.77518,Atlanta,Atkins Park
LARCENY-FROM VEHICLE,2010,-84.37127,33.759609999999995,Atlanta,Old Fourth Ward
BURGLARY-RESIDENCE,2010,-84.40177,33.733959999999996,Atlanta,Pittsburgh
LARCENY-NON VEHICLE,2010,-84.45947,33.70514,Atlanta,Campbellton Road
AGG ASSAULT,2010,-84.44185999999998,33.73751,Atlanta,Westview
AGG ASSAULT,2010,-84.40165999999998,33.73849000000001,Atlanta,Mechanicsville
AUTO THEFT,2010,-84.49901,33.77948,Atlanta,Bankhead/Bolton
LARCENY-FROM VEHICLE,2010,-84.41473,33.75233,Atlanta,Atlanta University Center
BURGLARY-RESIDENCE,2010,-84.38124,33.7064,Atlanta,Lakewood Heights
BURGLARY-RESIDENCE,2010,-84.52315,33.71771,Atlanta,Ashley Courts
LARCENY-NON VEHICLE,2010,-84.43276,33.73812,Atlanta,West End
LARCENY-NON VEHICLE,2010,-84.35625,33.71184,Atlanta,Custer/McDonough/Guice
LARCENY-FROM VEHICLE,2010,-84.41348,33.80448,Atlanta,Berkeley Park
AGG ASSAULT,2010,-84.38498,33.72592,Atlanta,Peoplestown
AUTO THEFT,2010,-84.43977,33.76186,Atlanta,West Lake
HOMICIDE,2010,-84.41711,33.763259999999995,Atlanta,Vine City
HOMICIDE,2010,-84.37172,33.71465,Atlanta,Chosewood Park
HOMICIDE,2010,-84.42174,33.7733,Atlanta,Bankhead
HOMICIDE,2010,-84.42141,33.74094,Atlanta,West End
LARCENY-FROM VEHICLE,2010,-84.5092,33.65781,Atlanta,Princeton Lakes
LARCENY-NON VEHICLE,2010,-84.38198,33.75168,Atlanta,Downtown
AGG ASSAULT,2010,-84.49851,33.76826,Atlanta,Fairburn Heights
LARCENY-FROM VEHICLE,2010,-84.38943,33.77138,Atlanta,Midtown
LARCENY-FROM VEHICLE,2010,-84.40498000000002,33.76527,Atlanta,English Avenue
LARCENY-FROM VEHICLE,2010,-84.34340999999998,33.73384,Atlanta,East Atlanta
BURGLARY-RESIDENCE,2010,-84.45231,33.7361,Atlanta,Westwood Terrace
LARCENY-FROM VEHICLE,2010,-84.39182,33.75177,Atlanta,Downtown
BURGLARY-NONRES,2010,-84.52277,33.70142,Atlanta,Ben Hill Terrace
BURGLARY-RESIDENCE,2010,-84.38714,33.76293,Atlanta,Downtown
LARCENY-NON VEHICLE,2010,-84.36886,33.792159999999996,Atlanta,Morningside/Lenox Park
AUTO THEFT,2010,-84.38757,33.7858,Atlanta,Midtown
LARCENY-FROM VEHICLE,2010,-84.40414,33.74749,Atlanta,Castleberry Hill
LARCENY-NON VEHICLE,2010,-84.48854,33.783879999999996,Atlanta,Collier Heights
AUTO THEFT,2010,-84.29245,33.747409999999995,Atlanta,East Lake
LARCENY-NON VEHICLE,2010,-84.35045,33.72055,Atlanta,Woodland Hills
LARCENY-FROM VEHICLE,2010,-84.43098,33.71691,Atlanta,Venetian Hills
LARCENY-FROM VEHICLE,2010,-84.39241,33.7873,Atlanta,Home Park
LARCENY-FROM VEHICLE,2010,-84.38755,33.76226,Atlanta,Downtown
ROBBERY-PEDESTRIAN,2010,-84.41356,33.81108,Atlanta,Springlake
LARCENY-FROM VEHICLE,2010,-84.36869,33.78174,Atlanta,Midtown
LARCENY-FROM VEHICLE,2010,-84.38083,33.751870000000004,Atlanta,Downtown
BURGLARY-RESIDENCE,2010,-84.41136999999998,33.70799,Atlanta,Sylvan Hills
LARCENY-NON VEHICLE,2010,-84.34917,33.76582,Atlanta,Inman Park
LARCENY-NON VEHICLE,2010,-84.37897,33.783840000000005,Atlanta,Midtown
LARCENY-NON VEHICLE,2010,-84.37075,33.849109999999996,Atlanta,North Buckhead
BURGLARY-RESIDENCE,2010,-84.38306999999998,33.688629999999996,Atlanta,Browns Mill Park
LARCENY-NON VEHICLE,2010,-84.36211999999998,33.846759999999996,Atlanta,Lenox
LARCENY-NON VEHICLE,2010,-84.43581,33.71952,Atlanta,Venetian Hills
LARCENY-NON VEHICLE,2010,-84.36211999999998,33.846759999999996,Atlanta,Lenox
BURGLARY-RESIDENCE,2010,-84.46746999999998,33.77952,Atlanta,Center Hill
LARCENY-NON VEHICLE,2010,-84.42107,33.72459,Atlanta,Oakland City
ROBBERY-PEDESTRIAN,2010,-84.40674,33.68011,Atlanta,Hammond Park
LARCENY-FROM VEHICLE,2010,-84.38604000000002,33.76097,Atlanta,Downtown
AUTO THEFT,2010,-84.44495,33.71946,Atlanta,Venetian Hills
LARCENY-NON VEHICLE,2010,-84.36211999999998,33.846759999999996,Atlanta,Lenox
LARCENY-NON VEHICLE,2010,-84.50587,33.77721,Atlanta,Carroll Heights
LARCENY-FROM VEHICLE,2010,-84.40805999999998,33.70339,Atlanta,Sylvan Hills
LARCENY-FROM VEHICLE,2010,-84.36521,33.824,Atlanta,Lindbergh/Morosgo
ROBBERY-PEDESTRIAN,2010,-84.46616,33.77859,Atlanta,Center Hill
LARCENY-NON VEHICLE,2010,-84.3807,33.78291,Atlanta,Midtown
BURGLARY-RESIDENCE,2010,-84.50241,33.67361,Atlanta,Brentwood
LARCENY-NON VEHICLE,2010,-84.38895,33.77101,Atlanta,Downtown
BURGLARY-RESIDENCE,2010,-84.35531999999998,33.69054000000001,Atlanta,Leila Valley
LARCENY-FROM VEHICLE,2010,-84.51021999999998,33.65488,Atlanta,Princeton Lakes
AUTO THEFT,2010,-84.39636,33.74852,Atlanta,Downtown
LARCENY-NON VEHICLE,2010,-84.3954,33.79249,Atlanta,Atlantic Station
LARCENY-FROM VEHICLE,2010,-84.39054,33.75492,Atlanta,Downtown
LARCENY-FROM VEHICLE,2010,-84.40691,33.775220000000004,Atlanta,Marietta Street Artery
LARCENY-FROM VEHICLE,2010,-84.40468,33.77363,Atlanta,Marietta Street Artery
BURGLARY-RESIDENCE,2010,-84.37595,33.83028,Atlanta,Garden Hills
AUTO THEFT,2010,-84.39709,33.71062,Atlanta,Joyland
AGG ASSAULT,2010,-84.37889,33.78451,Atlanta,Midtown
AGG ASSAULT,2010,-84.39509,33.72201,Atlanta,Pittsburgh
ROBBERY-RESIDENCE,2010,-84.44863000000002,33.71,Atlanta,Venetian Hills
BURGLARY-RESIDENCE,2010,-84.4196,33.75092,Atlanta,Ashview Heights
BURGLARY-RESIDENCE,2010,-84.42125,33.78949,Atlanta,Blandtown
LARCENY-FROM VEHICLE,2010,-84.40168,33.77197,Atlanta,Marietta Street Artery
LARCENY-FROM VEHICLE,2010,-84.39164,33.79874,Atlanta,Midtown
AUTO THEFT,2010,-84.51471,33.76918,Atlanta,Old Gordon
LARCENY-FROM VEHICLE,2010,-84.45133,33.77772,Atlanta,Grove Park
AUTO THEFT,2010,-84.40100000000002,33.78295,Atlanta,Home Park
BURGLARY-RESIDENCE,2010,-84.37645,33.70043,Atlanta,Lakewood Heights
BURGLARY-RESIDENCE,2010,-84.39664,33.820479999999996,Atlanta,Peachtree Battle Alliance
AGG ASSAULT,2010,-84.45789,33.78752,Atlanta,Almond Park
LARCENY-FROM VEHICLE,2010,-84.34776,33.73272,Atlanta,East Atlanta
AUTO THEFT,2010,-84.36844,33.84624,Atlanta,North Buckhead
LARCENY-NON VEHICLE,2010,-84.44122,33.71233,Atlanta,Venetian Hills
ROBBERY-PEDESTRIAN,2010,-84.3714,33.77097,Atlanta,Old Fourth Ward
AUTO THEFT,2010,-84.38139,33.709109999999995,Atlanta,South Atlanta
AUTO THEFT,2010,-84.42678000000002,33.701370000000004,Atlanta,Sylvan Hills
LARCENY-FROM VEHICLE,2010,-84.37546,33.75905,Atlanta,Sweet Auburn
