crime,year,long,lat,city,neighborhood
BURGLARY-NONRES,2013,-84.46544,33.75121,Atlanta,Florida Heights
AGG ASSAULT,2013,-84.42867,33.76427,Atlanta,Bankhead
RAPE,2013,-84.34931999999998,33.826409999999996,Atlanta,Pine Hills
AUTO THEFT,2013,-84.4086,33.69195,Atlanta,Perkerson
BURGLARY-NONRES,2013,-84.35008,33.71326,Atlanta,Custer/McDonough/Guice
BURGLARY-NONRES,2013,-84.42376,33.70997,Atlanta,Sylvan Hills
LARCENY-FROM VEHICLE,2013,-84.33867,33.74025,Atlanta,East Atlanta
AUTO THEFT,2013,-84.37928000000002,33.70527,Atlanta,Lakewood Heights
LARCENY-FROM VEHICLE,2013,-84.49851,33.73539,Atlanta,West Manor
LARCENY-FROM VEHICLE,2013,-84.37489000000002,33.777120000000004,Atlanta,Midtown
AUTO THEFT,2013,-84.42515999999998,33.75046,Atlanta,Ashview Heights
AUTO THEFT,2013,-84.50735999999998,33.77988,Atlanta,Carroll Heights
RAPE,2013,-84.38515,33.70926,Atlanta,South Atlanta
LARCENY-NON VEHICLE,2013,-84.3588,33.871159999999996,Atlanta,North Buckhead
BURGLARY-RESIDENCE,2013,-84.42203,33.70669,Atlanta,Sylvan Hills
BURGLARY-RESIDENCE,2013,-84.39753,33.71412,Atlanta,Joyland
BURGLARY-RESIDENCE,2013,-84.54553,33.70163,Atlanta,Sandlewood Estates
BURGLARY-RESIDENCE,2013,-84.38678,33.67269,Atlanta,Glenrose Heights
LARCENY-FROM VEHICLE,2013,-84.37483,33.73686,Atlanta,Grant Park
LARCENY-NON VEHICLE,2013,-84.42348,33.73733,Atlanta,West End
LARCENY-NON VEHICLE,2013,-84.49773,33.68677,Atlanta,Greenbriar
LARCENY-FROM VEHICLE,2013,-84.43549,33.76282,Atlanta,Hunter Hills
BURGLARY-RESIDENCE,2013,-84.41843,33.87448,Atlanta,Mt. Paran Parkway
BURGLARY-RESIDENCE,2013,-84.40294,33.73151,Atlanta,Pittsburgh
LARCENY-FROM VEHICLE,2013,-84.38452,33.79074,Atlanta,Midtown
LARCENY-NON VEHICLE,2013,-84.40957,33.73215,Atlanta,Adair Park
LARCENY-NON VEHICLE,2013,-84.41457,33.75504,Atlanta,Vine City
